Name,Age,#days,Lev,Date,Tm, ,Opp,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
Eloy Jim\xc3\xa9nez,26,1,Maj-AL,"Mar 31, 2023",Chicago,@,Houston,1,4,4,1,2,2,0,0,2,0,0,1,0,0,0,0,0,0,0.5,0.5,1.0,1.5,650391
Corey Julks,27,1,Maj-AL,"Mar 31, 2023",Houston,,Chicago,1,4,4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.25,0.25,0.25,0.5,667452
Jarred Kelenic,23,1,Maj-AL,"Mar 31, 2023",Seattle,,Cleveland,1,4,4,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0.25,0.25,0.5,0.75,672284
Ha-Seong Kim,27,1,Maj-NL,"Mar 31, 2023",San Diego,,Colorado,1,3,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.667,2.667,673490
Steven Kwan,25,1,Maj-AL,"Mar 31, 2023",Cleveland,@,Seattle,1,6,4,0,2,1,0,0,5,1,0,1,0,0,1,0,0,0,0.5,0.5,0.75,1.25,680757
Kyle Lewis,27,1,Maj-NL,"Mar 31, 2023",Arizona,@,Los Angeles,1,1,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1.0,1.0,4.0,5.0,641786
Francisco Lindor,29,1,Maj-NL,"Mar 31, 2023",New York,@,Miami,1,4,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0.0,0.5,0.0,0.5,596019
Tim Locastro,30,1,Maj-NL,"Mar 31, 2023",New York,@,Miami,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,641796
Evan Longoria,37,1,Maj-NL,"Mar 31, 2023",Arizona,@,Los Angeles,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,2.0,3.0,446334
Manny Machado,30,1,Maj-NL,"Mar 31, 2023",San Diego,,Colorado,1,4,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.25,0.25,0.25,0.5,592518
Mart\xc3\xadn Maldonado,36,1,Maj-AL,"Mar 31, 2023",Houston,,Chicago,1,4,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0.25,0.0,0.25,455117
Ketel Marte,29,1,Maj-NL,"Mar 31, 2023",Arizona,@,Los Angeles,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,606466
Starling Marte,34,1,Maj-NL,"Mar 31, 2023",New York,@,Miami,1,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0.5,0.5,1.0,516782
J.D. Martinez,35,1,Maj-NL,"Mar 31, 2023",Los Angeles,,Arizona,1,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,502110
Jake McCarthy,25,1,Maj-NL,"Mar 31, 2023",Arizona,@,Los Angeles,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,664983
Ryan McMahon,28,1,Maj-NL,"Mar 31, 2023",Colorado,@,San Diego,1,4,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,641857
Jeff McNeil,31,1,Maj-NL,"Mar 31, 2023",New York,@,Miami,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,643446
Jake Meyers,27,1,Maj-AL,"Mar 31, 2023",Houston,,Chicago,1,4,3,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0.0,0.25,0.0,0.25,676694
Yo\xc3\xa1n Moncada,28,1,Maj-AL,"Mar 31, 2023",Chicago,@,Houston,1,4,4,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0.75,0.75,1.0,1.75,660162
Elehuris Montero,24,1,Maj-NL,"Mar 31, 2023",Colorado,@,San Diego,1,4,4,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0.5,0.5,0.5,1.0,660707
Gabriel Moreno,23,1,Maj-NL,"Mar 31, 2023",Arizona,@,Los Angeles,1,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,0.5,672515
Max Muncy,32,1,Maj-NL,"Mar 31, 2023",Los Angeles,,Arizona,1,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,571970
Omar Narv\xc3\xa1ez,31,1,Maj-NL,"Mar 31, 2023",New York,@,Miami,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,553882
Josh Naylor,26,1,Maj-AL,"Mar 31, 2023",Cleveland,@,Seattle,1,5,5,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0.4,0.4,0.4,0.8,647304
Tom\xc3\xa1s Nido,29,1,Maj-NL,"Mar 31, 2023",New York,@,Miami,1,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,621512
Brandon Nimmo,30,1,Maj-NL,"Mar 31, 2023",New York,@,Miami,1,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.25,0.0,0.25,607043
Austin Nola,33,1,Maj-NL,"Mar 31, 2023",San Diego,,Colorado,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,543592
